time,travelReason,trips
6:35 AM,returnHomeFromNonworkLoc,10076.14295
6:35 AM,otherTrip,183433.9912
6:40 AM,travelToWork,350096.9153
6:40 AM,returnHomeFromWork,18603.78896
6:40 AM,travelToClass,72614.68417
6:40 AM,returnHomeFromNonworkLoc,10744.67426
6:40 AM,otherTrip,197384.0809
6:45 AM,travelToWork,353134.5705
6:45 AM,returnHomeFromWork,17583.78502
6:45 AM,travelToClass,87001.25063
6:45 AM,returnHomeFromNonworkLoc,10367.15536
6:45 AM,otherTrip,200180.8393
6:50 AM,travelToWork,384053.0379
6:50 AM,returnHomeFromWork,18873.35618
6:50 AM,travelToClass,116324.4527
6:50 AM,returnHomeFromNonworkLoc,10913.13074
6:50 AM,otherTrip,223736.3248
6:55 AM,travelToWork,397496.0783
6:55 AM,returnHomeFromWork,18551.70833
6:55 AM,travelToClass,139270.9825
6:55 AM,returnHomeFromNonworkLoc,11179.92141
6:55 AM,otherTrip,237617.4987
7:00 AM,travelToWork,405633.7706
7:00 AM,returnHomeFromWork,18787.78984
7:00 AM,travelToClass,162616.5203
7:00 AM,returnHomeFromNonworkLoc,13377.00592
7:00 AM,otherTrip,248113.5286
7:05 AM,travelToWork,420920.324
7:05 AM,returnHomeFromWork,19308.98947
7:05 AM,travelToClass,187278.5035
7:05 AM,returnHomeFromNonworkLoc,15162.22711
7:05 AM,otherTrip,267786.4396
7:10 AM,travelToWork,440437.7509
7:10 AM,returnHomeFromWork,19405.76879
7:10 AM,travelToClass,214623.534
7:10 AM,returnHomeFromNonworkLoc,16680.13905
7:10 AM,otherTrip,290363.2479
7:15 AM,travelToWork,435580.9424
7:15 AM,returnHomeFromWork,17253.2016
7:15 AM,travelToClass,224688.9278
7:15 AM,returnHomeFromNonworkLoc,17412.45322
7:15 AM,otherTrip,292287.2695
7:20 AM,travelToWork,465775.7305
7:20 AM,returnHomeFromWork,17543.50468
7:20 AM,travelToClass,253721.4193
7:20 AM,returnHomeFromNonworkLoc,19707.02022
7:20 AM,otherTrip,317330.4342
7:25 AM,travelToWork,483371.5834
7:25 AM,returnHomeFromWork,16799.22139
7:25 AM,travelToClass,268459.8474
7:25 AM,returnHomeFromNonworkLoc,22098.03048
7:25 AM,otherTrip,328931.6439
7:30 AM,travelToWork,497504.0197
7:30 AM,returnHomeFromWork,16928.12902
7:30 AM,travelToClass,280746.9229
7:30 AM,returnHomeFromNonworkLoc,24163.35567
7:30 AM,otherTrip,336468.0539
7:35 AM,travelToWork,514656.7314
7:35 AM,returnHomeFromWork,16992.66518
7:35 AM,travelToClass,291337.3357
7:35 AM,returnHomeFromNonworkLoc,26962.54843
7:35 AM,otherTrip,351116.1349
7:40 AM,travelToWork,526081.735
7:40 AM,returnHomeFromWork,16980.63733
7:40 AM,travelToClass,300338.1681
7:40 AM,returnHomeFromNonworkLoc,29934.55088
7:40 AM,otherTrip,366740.5521
7:45 AM,travelToWork,510852.2736
7:45 AM,returnHomeFromWork,16105.23417
7:45 AM,travelToClass,285791.8719
7:45 AM,returnHomeFromNonworkLoc,31733.51881
7:45 AM,otherTrip,364234.7553
7:50 AM,travelToWork,524094.399
7:50 AM,returnHomeFromWork,16743.31415
7:50 AM,travelToClass,293684.8842
7:50 AM,returnHomeFromNonworkLoc,36603.02638
7:50 AM,otherTrip,402894.0521
7:55 AM,travelToWork,510806.9357
7:55 AM,returnHomeFromWork,15928.98726
7:55 AM,travelToClass,281872.6223
7:55 AM,returnHomeFromNonworkLoc,40990.02492
7:55 AM,otherTrip,421594.1293
8:00 AM,travelToWork,489572.9902
8:00 AM,returnHomeFromWork,15498.00859
8:00 AM,travelToClass,264021.7528
8:00 AM,returnHomeFromNonworkLoc,47598.72398
8:00 AM,otherTrip,428514.5138
8:05 AM,travelToWork,476937.5048
8:05 AM,returnHomeFromWork,15408.21879
